list_id,attribute_id,attribute_value
132371456,rooms,nhiều hơn 10 PN
132371456,house_type,"Nhà ngõ, hẻm"
132025602,rooms,5 PN
132025602,house_type,Nhà biệt thự
132371587,commercial_type,Mặt bằng kinh doanh
132012036,rooms,4 PN
132012036,house_type,"Nhà ngõ, hẻm"
132348939,rooms,2 PN
132348939,house_type,"Nhà ngõ, hẻm"
132371217,rooms,nhiều hơn 10 PN
132371217,house_type,"Nhà ngõ, hẻm"
131460370,rooms,5 PN
131460370,house_type,"Nhà ngõ, hẻm"
132270869,rooms,2 PN
132270869,house_type,"Nhà ngõ, hẻm"
132371093,land_type,Đất thổ cư
132370965,rooms,3 PN
132370965,house_type,"Nhà mặt phố, mặt tiền"
132371353,rooms,4 PN
132371353,house_type,"Nhà ngõ, hẻm"
131033625,rooms,1 PN
131033625,apartment_type,"Căn hộ dịch vụ, mini"
132248734,commercial_type,Mặt bằng kinh doanh
132248734,furnishing_sell,Nội thất đầy đủ
132113055,land_type,Đất thổ cư
132113055,width,Ngang 15 m
132117023,rooms,1 PN
132117023,direction,Hướng Đông Nam
132117023,house_type,"Nhà ngõ, hẻm"
131022369,land_type,Đất thổ cư
131022369,width,Ngang 5 m
132370723,rooms,3 PN
132370723,house_type,"Nhà mặt phố, mặt tiền"
132371492,rooms,4 PN
132371492,house_type,"Nhà ngõ, hẻm"
132217124,rooms,4 PN
132217124,house_type,"Nhà ngõ, hẻm"
132370854,commercial_type,Văn phòng
132370854,furnishing_sell,Nội thất cao cấp
132370855,rooms,2 PN
132370855,house_type,"Nhà ngõ, hẻm"
132369705,rooms,3 PN
132369705,house_type,"Nhà ngõ, hẻm"
132290556,furnishing_rent,Nội thất đầy đủ
132370221,rooms,4 PN
132370221,house_type,"Nhà ngõ, hẻm"
132173102,rooms,4 PN
132173102,direction,Hướng Đông Nam
132173102,house_type,"Nhà ngõ, hẻm"
132240047,furnishing_rent,Nội thất đầy đủ
132369839,rooms,2 PN
132369839,direction,Hướng Đông Nam
132369839,apartment_type,Chung cư
125718706,land_type,Đất thổ cư
132370995,commercial_type,Mặt bằng kinh doanh
132369724,rooms,3 PN
132369724,direction,Hướng Đông Nam
132369724,house_type,"Nhà ngõ, hẻm"
132371517,rooms,4 PN
132371517,house_type,"Nhà ngõ, hẻm"
132370365,rooms,3 PN
132370365,house_type,"Nhà ngõ, hẻm"
131779389,rooms,1 PN
131779389,apartment_type,"Căn hộ dịch vụ, mini"
129456707,rooms,2 PN
129456707,house_type,"Nhà ngõ, hẻm"
132291011,rooms,2 PN
132291011,direction,Hướng Tây Bắc
132291011,house_type,"Nhà ngõ, hẻm"
132370245,rooms,2 PN
132370245,apartment_type,Chung cư
131791740,rooms,5 PN
131791740,house_type,"Nhà ngõ, hẻm"
131472200,rooms,3 PN
131472200,house_type,"Nhà ngõ, hẻm"
132369865,rooms,2 PN
132369865,apartment_type,Chung cư
131352908,furnishing_rent,Nội thất đầy đủ
132277335,furnishing_rent,Nội thất đầy đủ
132370904,rooms,4 PN
132370904,house_type,"Nhà mặt phố, mặt tiền"
132370679,commercial_type,Văn phòng
132370679,furnishing_sell,Nội thất cao cấp
132371038,rooms,3 PN
132371038,house_type,"Nhà ngõ, hẻm"
132371042,commercial_type,Mặt bằng kinh doanh
132371042,furnishing_sell,Nội thất cao cấp
132369635,rooms,3 PN
132369635,direction,Hướng Tây Nam
132369635,house_type,"Nhà ngõ, hẻm"
131962212,furnishing_rent,Nội thất đầy đủ
132370148,commercial_type,Mặt bằng kinh doanh
132370148,furnishing_sell,Hoàn thiện cơ bản
132370025,rooms,2 PN
132370025,direction,Hướng Đông Nam
132370025,apartment_type,Chung cư
132370922,commercial_type,Văn phòng
132370922,furnishing_sell,Nội thất cao cấp
132370538,rooms,1 PN
132370538,apartment_type,"Tập thể, cư xá"
132370412,rooms,2 PN
132370412,apartment_type,Chung cư
132268525,commercial_type,Mặt bằng kinh doanh
132370544,land_type,Đất thổ cư
132370802,commercial_type,Văn phòng
132370802,furnishing_sell,Nội thất cao cấp
132370420,rooms,3 PN
132370420,house_type,"Nhà mặt phố, mặt tiền"
129628407,rooms,3 PN
129628407,direction,Hướng Tây Nam
129628407,house_type,"Nhà ngõ, hẻm"
132371322,rooms,8 PN
132371322,house_type,Nhà phố liền kề
132371452,rooms,3 PN
132371452,direction,Hướng Tây Nam
132371452,house_type,"Nhà ngõ, hẻm"
131440641,rooms,1 PN
131440641,apartment_type,"Căn hộ dịch vụ, mini"
129552395,commercial_type,Văn phòng
131123218,furnishing_rent,Nội thất đầy đủ
